"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R15","0402","41590.3mil","42506.63mil","41590.3mil","42506.63mil","41590.3mil","42487.732mil","T","90.00","0R"
"R14","0402","42998.82mil","41395.47mil","42998.82mil","41395.47mil","42998.82mil","41376.572mil","T","90.00","470R"
"R13","0402","41550.93mil","42506.63mil","41550.93mil","42506.63mil","41550.93mil","42487.732mil","T","90.00","0R"
"R12","0402","41303.83mil","41720.47mil","41303.83mil","41720.47mil","41284.932mil","41720.47mil","T","360.00","0R"
"R11","0402","41713.82mil","41815.46mil","41713.82mil","41815.46mil","41713.82mil","41834.358mil","T","270.00","2k"
"R10","0402","41368.82mil","41650.47mil","41368.82mil","41650.47mil","41368.82mil","41669.368mil","T","270.00","5R6"
"R9","0402","41408.82mil","41650.47mil","41408.82mil","41650.47mil","41408.82mil","41669.368mil","T","270.00","5R6"
"R8","0402","41448.83mil","41650.47mil","41448.83mil","41650.47mil","41448.83mil","41669.368mil","T","270.00","5R6"
"R7","0402","41488.82mil","41650.47mil","41488.82mil","41650.47mil","41488.82mil","41669.368mil","T","270.00","5R6"
"R6","0402","41753.82mil","41465.46mil","41753.82mil","41465.46mil","41753.82mil","41484.358mil","T","270.00","2k"
"R5","0402","41798.82mil","41465.46mil","41798.82mil","41465.46mil","41798.82mil","41484.358mil","T","270.00","2k"
"R4","0402","41528.82mil","41650.47mil","41528.82mil","41650.47mil","41528.82mil","41669.368mil","T","270.00","5R6"
"R3","0402","41568.82mil","41650.47mil","41568.82mil","41650.47mil","41568.82mil","41669.368mil","T","270.00","5R6"
"R2","0402","41608.82mil","41650.47mil","41608.82mil","41650.47mil","41608.82mil","41669.368mil","T","270.00","5R6"
"R1","0402","41648.82mil","41650.47mil","41648.82mil","41650.47mil","41648.82mil","41669.368mil","T","270.00","5R6"
"Q2","SOT-23s","41088.82mil","42235.47mil","41088.82mil","42235.47mil","41126.222mil","42198.068mil","T","180.00","PMV16XN"
"Q1","SOT-23s","41473.82mil","42140.47mil","41473.82mil","42140.47mil","41436.418mil","42177.872mil","T","0.00","PMV32UP"
"PWR","LED0603","43430.06mil","41282.8mil","43430.06mil","41282.8mil","43430.06mil","41310.3mil","T","270.00","KPT-1608SGC"
"M1","jetson-nano-connector","42313.697mil","42958.661mil","43564.681mil","41460.629mil","43626.69mil","43275.59mil","T","180.00","2309413-1"
"LED1","LED0603","41805.01mil","41256.38mil","41805.01mil","41256.38mil","41832.51mil","41256.38mil","T","180.00","KPT-1608SGC"
"L10","0603","42853.82mil","41920.47mil","42853.82mil","41920.47mil","42821.733mil","41920.47mil","T","360.00","BLM18SG121TN1D"
"L9","0603","41128.83mil","41710.47mil","41128.83mil","41710.47mil","41096.743mil","41710.47mil","T","0.00","BLM18SG121TN1D"
"L8","0603","41155.68mil","41279.47mil","41155.68mil","41279.47mil","41123.593mil","41279.47mil","T","0.00","BLM18SG121TN1D"
"L7","0603","41005.68mil","41279.47mil","41005.68mil","41279.47mil","40973.593mil","41279.47mil","T","0.00","BLM18SG121TN1D"
"L6","LQH32PN2R2NN0L","43488.82mil","42630.47mil","43488.82mil","42630.47mil","43439.607mil","42630.47mil","T","0.00","LQH32PN2R2NN0L"
"L5","IHLP-1212AE","43588.82mil","41830.47mil","43588.82mil","41830.47mil","43588.82mil","41787.97mil","T","90.00","IHLP1212AEERR47M11"
"L4","LQH32PN2R2NN0L","44003.81mil","42375.47mil","44003.81mil","42375.47mil","44053.023mil","42375.47mil","T","180.00","LQH32PN2R2NN0L"
"L3","0603","43078.82mil","41505.47mil","43078.82mil","41505.47mil","43110.907mil","41505.47mil","T","180.00","BLM18EG221SN1D"
"L2","0603","41828.82mil","42055.47mil","41828.82mil","42055.47mil","41828.82mil","42087.557mil","T","270.00","BLM18EG221SN1D"
"L1","WE_7447798720","40410.59mil","42862.57mil","40410.59mil","42862.57mil","40410.59mil","43023.987mil","T","270.00","WE_7447798720"
"J14","FH52E15S05SH99","43998.015mil","42141.26mil","44015.712mil","42141.26mil","43908.94mil","42003.465mil","B","270.00","FH52E-15S-0.5SH_99_"
"J13","FH52E15S05SH99","43496.035mil","43631.445mil","43496.035mil","43649.142mil","43633.83mil","43542.37mil","B","360.00","FH52E-15S-0.5SH_99_"
"J12","SAMTEC_PCIE-064-02-X-D-EMS2-BG","41641.695mil","43641.26mil","41641.695mil","43779.055mil","40992.089mil","43641.26mil","B","360.00","PCIE-064-02-X-D-EMS2-BG"
"J10","PCA-10","40553.507mil","43629.77mil","40653.507mil","43609.77mil","40464.925mil","43584.77mil","B","360.00","PCA-6L-10-HU-3-T/R"
"J9","CON-Molex-047346-0001","43218.47mil","41372.672mil","43218.47mil","41375.31mil","43167.289mil","41425.034mil","T","90.00","Molex 47346-0001"
